id,title,artist,album,album_artist,genre,grouping,composer,bpm,key,duration,comment,rating,coverart_location,color,Cover Art Filename,filename,Mood
2556,Tape From The Other Side (Studiorich Edit),StudioRich,Stranger Vibes,,Lofi,,,152.0,B,87.52000000000001,Generated by Trackstar,0.0,,,Tape_From_The_Other_Side_--Studiorich_Edit--.jpg,Tape_from_the_Other_Side_--StudioRich_Edit--.flac,"Cinematic, Dreamy, Haunting, Hopeful, Intimate, Melancholy"
2557,Transmission  Unknown Vol.1,StudioRich,Stranger Vibes,,Lofi,,,108.167,Dm,4885.118571428,Generated by Trackstar,0.0,,,Transmission__Unknown_Vol._1.jpg,Transmission__Unknown_Vol.1.flac,
2559,Winning Shot,StudioRich,Stranger Vibes,Lucas,Lofi,,,91.33333333333333,B♭,147.119979166,Generated by Trackstar,0.0,,,Winning_Shot.jpg,Winning_Shot.flac,"Chill, Comforting, Hopeful, Intimate"
2560,Winning Shot (B-Side),StudioRich,Stranger Vibes,Lucas,Lofi,,,94.0,B♭,153.159979166,Generated by Trackstar,0.0,,,Winning_Shot_--B-Side--.jpg,Winning_Shot_--B-Side--.flac,"Chill, Comforting, Dreamy, Hopeful, Intimate"
2583,mom-field-recording-seagulls-may-16-2025,Mom,Field Recording,,,,,129.0,Fm,27.328000000000003,,,,,,,
2584,Letters Left,StudioRich,Stranger Vibes,,Lofi,Echo,,164.0,Db,144.959979166,Generated by Trackstar,5.0,,,Letters_Left.jpg,Letters_Left.flac,"Cinematic, Dreamy, Melancholy, Nostalgic, Playful"
2585,Remote Ghost,StudioRich,Stranger Vibes,,Lofi,Withdrawal,,80.0,Ab,95.95997916600001,Generated by Trackstar,5.0,,,Remote_Ghost.jpg,Remote_Ghost.flac,"Dark, Dreamy, Lonely, Melancholy"
2586,Lucas’ Loop (B-Side),StudioRich,Stranger Vibes,,Lofi,Legacy,,79.16666666666666,Cm,146.959979166,Generated by Trackstar,5.0,,,Lucas’_Loop_--B-Side--.jpg,Lucas’_Loop_--B-Side--.flac,"Chill, Comforting, Dreamy, Gritty, Weightless"
2587,Letters Left (A-Side),StudioRich,Stranger Vibes,,Lofi,Echo,,80.0,Db,174.879979166,Generated by Trackstar,5.0,,,Letters_Left_--A-Side--.jpg,Letters_Left_--A-Side--.flac,"Dreamy, Haunting, Melancholy, Playful, Weightless"
2588,Window_Fade,,,,,,,85.03522610166637,Bb,103.999979166,,,,,,,
2589,Run Loop (A-Side),StudioRich,Stranger Vibes,,Lofi,Flight,,84.33333333333333,Ebm,121.079979166,Generated by Trackstar,5.0,,,Run_Loop_--A-Side--.jpg,Run_Loop_--A-Side--.flac,"Chill, Comforting, Dark, Gritty, Tense"
2590,Static Memory (A-Side),StudioRich,Stranger Vibes,,Lofi,Echo,,80.0,D,149.839979166,Generated by Trackstar,5.0,,,Static_Memory_--A-Side--.jpg,Static_Memory_--A-Side--.flac,"Hopeful, Lonely, Melancholy"
2591,Lucas’ Loop (A-Side),StudioRich,Stranger Vibes,,Lofi,Legacy,,76.58333333333333,B,137.91997916600002,Generated by Trackstar,5.0,,,Lucas’_Loop_--A-Side--.jpg,Lucas’_Loop_--A-Side--.flac,"Chill, Comforting, Dreamy, Gritty, Tense, Weightless"
2592,Window Fade (A-Side),StudioRich,Stranger Vibes,,Lofi,Withdrawal,,85.0,C,124.199979166,Generated by Trackstar,5.0,,,Window_Fade_--A-Side--.jpg,Window_Fade_--A-Side--.flac,"Chill, Cinematic, Dreamy, Haunting, Intimate, Melancholy"
2593,Echoes of Time (A-Side),StudioRich,Stranger Vibes,,Lofi,Primer,,128.08333333333331,C,180.19997916600002,Generated by Trackstar,5.0,,,Echoes_of_Time_--A-Side--.jpg,Echoes_of_Time_--A-Side--.flac,"Chill, Cinematic, Gritty, Lonely, Tense"
2594,A New Dawn,StudioRich,Stranger Vibes,,Lofi,,,84.0,A,192.159979166,Generated by Trackstar,0.0,,,A_New_Dawn.jpg,A_New_Dawn.flac,"Chill, Comforting, Dreamy, Hopeful, Intimate"
2595,A_New_Dawn,,,,,,,0.0,,192.16000000000003,,,,,,,
2596,Backwards Bloom,StudioRich,Stranger Vibes,,Lofi,Primer,,128.25,C#m,212.999979166,Generated by Trackstar,5.0,,,Backwards_Bloom.jpg,Backwards_Bloom.flac,"Cinematic, Dreamy, Energetic, Gritty, Nostalgic, Tense"
2597,Backwards_Bloom,,,,,,,0.0,,213.0,,,,,,,
2598,Cassette Crush,StudioRich,Stranger Vibes,,Lofi,,,145.0,C,119.479979166,Generated by Trackstar,0.0,,,Cassette_Crush.jpg,Cassette_Crush.flac,"Comforting, Dreamy, Intimate, Playful"
2599,Dreams In Rewind,StudioRich,Stranger Vibes,,Lofi,,,85.08333333333333,G#m,137.47997916600002,Generated by Trackstar,0.0,,,Dreams_In_Rewind.jpg,Dreams_in_Rewind.flac,"Cinematic, Comforting, Dreamy, Intimate"
2600,Echoes Of Nostalgia,StudioRich,Stranger Vibes,,Lofi,,,142.0,G,239.999979166,Generated by Trackstar,0.0,,,Echoes_Of_Nostalgia.jpg,Echoes_of_Nostalgia.flac,"Cinematic, Dreamy, Hopeful, Weightless"
2601,Echoes_of_Time_--A-Side--,,,,,,,0.0,,180.20000000000002,,,,,,,
2602,Echoes of Time (C-Side),StudioRich,Stranger Vibes,,Lofi,Primer,,128.0,C#m,212.999979166,Generated by Trackstar,5.0,,,Echoes_of_Time_--C-Side--.jpg,Echoes_of_Time_--C-Side--.flac,"Cinematic, Dreamy, Energetic, Gritty, Nostalgic"
2603,Echoes_of_Time_--C-Side--,,,,,,,0.0,,213.0,,,,,,,
2604,Flicker at Dusk,StudioRich,Stranger Vibes,,Lofi,Primer,,85.03879586053885,E,144.159979166,Generated by Trackstar,5.0,,,Flicker_at_Dusk.jpg,Flicker_at_Dusk.flac,"Chill, Comforting, Dreamy, Hopeful, Nostalgic"
2605,Flicker_at_Dusk,,,,,,,0.0,,144.16,,,,,,,
2606,Forest Rhythms,StudioRich,Stranger Vibes,,Lofi,,,83.0,G,102.079979166,Generated by Trackstar,0.0,,,Forest_Rhythms.jpg,Forest_Rhythms.flac,"Intimate, Melancholy, Nostalgic, Tense"
2607,Ghost Train to Hawkins,StudioRich,Stranger Vibes,,Lofi,Primer,,142.41666666666666,Am,125.479979166,Generated by Trackstar,5.0,,,Ghost_Train_to_Hawkins.jpg,Ghost_Train_to_Hawkins.flac,"Chill, Cinematic, Dreamy, Gritty, Nostalgic"
2608,Ghost_Train_to_Hawkins,,,,,,,0.0,,125.48,,,,,,,
2609,Half-Light Memory,StudioRich,Stranger Vibes,,Lofi,Primer,,142.0,B,164.519979166,Generated by Trackstar,5.0,,,Half-Light_Memory.jpg,Half-Light_Memory.flac,"Chill, Dreamy, Hopeful, Melancholy, Nostalgic"
2610,Half-Light_Memory,,,,,,,0.0,,164.52,,,,,,,
